pid,dc_title,dc_creator,bib_published
o:2108434,Georg Sturn to Sebastian Tengnagel. 1611-02-11,Chiara Petrolini,
o:2108447,Jacob Gretser to Sebastian Tengnagel. 1611-07-14,Chiara Petrolini,
o:2108441,Sebastian Tengnagel to Jan Gruter. 1611-02-28,Chiara Petrolini,
o:2108445,Jan Gruter to Sebastian Tengnagel. 1611-04-05,Chiara Petrolini,
o:2108444,Jordanus Louffius to Sebastian Tengnagel. 1611-03-14,Chiara Petrolini,
o:2108446,Jacob Gretser to Sebastian Tengnagel. 1611-05-12,Chiara Petrolini,
o:2108443,Sebastian Tengnagel to Karl von Liechtenstein. 1611-03-21,Chiara Petrolini,
o:2108442,Sebastian Tengnagel to Pierre Cavellat. 1611-02-28,Chiara Petrolini,
o:2108453,Jacob Gretser to Sebastian Tengnagel. 1611-09-11,Chiara Petrolini,
o:2108454,Petrus Kirstenius to Sebastian Tengnagel. 1611-09-21,Chiara Petrolini,
o:2108450,Jacob Gretser to Sebastian Tengnagel. 1611-08-24,Chiara Petrolini,
o:2108452,David Hoeschel to Sebastian Tengnagel. 1611-08-31,Chiara Petrolini,
o:2108451,Georg Sturn to Sebastian Tengnagel. 1611-08-27,Chiara Petrolini,
o:2108449,Sebastian Tengnagel to Melchior Khlesl. 1611-08-13,Chiara Petrolini,
o:2108448,Conradus Gaag to Sebastian Tengnagel. 1611-07-28,Chiara Petrolini,
o:2108456,Jan Gruter to Sebastian Tengnagel. 1611-09-27,Chiara Petrolini,
o:2108461,Henry Savile to Sebastian Tengnagel. 1611-12-18,Chiara Petrolini,
o:2108458,Petrus Kirstenius to Sebastian Tengnagel. 1611-11-15,Chiara Petrolini,
o:2108459,Jan Gruter to Sebastian Tengnagel. 1611-11-23,Chiara Petrolini,
o:2108455,Jacob Gretser to Sebastian Tengnagel. 1611-09-26,Chiara Petrolini,
o:2108460,Jakob Christmann to Sebastian Tengnagel. 1611-04-29,Chiara Petrolini,
o:2108457,Petrus Kirstenius to Sebastian Tengnagel. 1611-10-28,Chiara Petrolini,
o:2108474,Jacob Gretser to Sebastian Tengnagel. 1613-01-22,Chiara Petrolini,
o:2108471,"Johann Lieb to Sebastian Tengnagel. 1612-12-12\, 1613-01-08",Chiara Petrolini,
o:2108469,Jan Gruter to Sebastian Tengnagel. 1612-09-17,Chiara Petrolini,
o:2108472,Christoph Helvig to Sebastian Tengnagel. 1612-12-15,Chiara Petrolini,
o:2108470,Petrus Kirstenius to Sebastian Tengnagel. 1612-10-01,Chiara Petrolini,
o:2108473,Daniel Heinsius to Sebastian Tengnagel. 1613-01-15,Chiara Petrolini,
o:2108475,Henry Savile to Sebastian Tengnagel. 1613-01-22,Chiara Petrolini,
o:2108482,Jan Gruter to Sebastian Tengnagel. 1613-04-03,Chiara Petrolini,
o:2108477,Pedro Teixeira to Sebastian Tengnagel. 1613-02-06,Chiara Petrolini,
o:2108476,Konrad Rittershausen to Sebastian Tengnagel. 1613-01-31,Chiara Petrolini,
o:2108479,Daniel Heinsius to Sebastian Tengnagel. 1613-03-08,Chiara Petrolini,
o:2108481,Georgius Garnefelt to Sebastian Tengnagel. 1613-03-23,Chiara Petrolini,
o:2108480,Daniel Heinsius to Arnold Willelms. 1613-03-08,Chiara Petrolini,
o:2108478,Daniel Heinsius to Sebastian Tengnagel. 1613-02-13,Chiara Petrolini,
o:2108491,Georg Remus to Sebastian Tengnagel. 1614-03-05,Chiara Petrolini,
o:2108496,Valentinus Leuchtius to Sebastian Tengnagel. 1614-05-13,Chiara Petrolini,
o:2108494,Hermann von Questenberg to Sebastian Tengnagel. 1614-04-19,Chiara Petrolini,
o:2108492,Jordanus Louffius to Sebastian Tengnagel. 1614-04-06,Chiara Petrolini,
o:2108495,Hermannus Ytterius to Sebastian Tengnagel. 1614-05-12,Chiara Petrolini,
o:2108490,Caspar Dornau to Sebastian Tengnagel. 1614-02-14,Chiara Petrolini,
o:2108493,David Hoeschel to Sebastian Tengnagel. 1614-04-19,Chiara Petrolini,
o:2108509,Sebastian Tengnagel to Jacques-Auguste de Thou. 1614-09-08,Chiara Petrolini,
o:2108510,Sebastian Tengnagel to Fronton du Duc. 1614-09-08,Chiara Petrolini,
o:2108508,Robert de Scheilder to Sebastian Tengnagel. 1614-09-06,Chiara Petrolini,
o:2108507,Robert de Scheilder to Sebastian Tengnagel. 1614-09-06,Chiara Petrolini,
o:2108506,Karl von Liechtenstein to Sebastian Tengnagel. 1614-08-26,Chiara Petrolini,
o:2108504,Sebastian Tengnagel to Daniel Heinsius. 1614-08-23,Chiara Petrolini,
o:2108505,Arnold Willelms to Sebastian Tengnagel. 1614-08-23,Chiara Petrolini,
o:2108304,David Hoeschel to Johann Matthäus Wacker von Wackenfels. 1600-01-30,Chiara Petrolini,
o:2108308,Johannes Pistorius to Sebastian Tengnagel. 1603-05-21,Chiara Petrolini,
o:2108307,Pierre Cavellat to Sebastian Tengnagel. 1603-02-12,Chiara Petrolini,
o:2108302,Pierre Cavellat to Sebastian Tengnagel. 1604-03-22,Chiara Petrolini,
o:2108306,Christophorus Colerus to Johann Matthäus Wacker von Wackenfels. 1602-12-29,Chiara Petrolini,
o:2108303,Frans Gansneb Tengnagel to [Heinrich Rantzau]. 1597-06-18,Chiara Petrolini,
o:2108354,Petrus Kirstenius to Sebastian Tengnagel. 1608-02-07,Chiara Petrolini,
o:2108350,Petrus Kirstenius to Sebastian Tengnagel. 1608-01-09,Chiara Petrolini,
o:2108351,Christophorus Crinesius to Sebastian Tengnagel. 1608-01-20,Chiara Petrolini,
o:2108355,David Hoeschel to Sebastian Tengnagel. 1608-02-13,Chiara Petrolini,
o:2108353,Hermann von Questenberg to Sebastian Tengnagel. 1608-02-06,Chiara Petrolini,
o:2108348,[Friedrich Taubmann] to Sebastian Tengnagel. 1607-11-13,Chiara Petrolini,
o:2108352,Jan Gruter to Sebastian Tengnagel. 1608-01-30,Chiara Petrolini,
o:2108349,Philippus Rinaldius to Sebastian Tengnagel. 1607-11-16,Chiara Petrolini,
o:2108358,Jacob Gretser to Sebastian Tengnagel. 1608-03-15,Chiara Petrolini,
o:2108361,Konrad Rittershausen to Sebastian Tengnagel. 1608-03-26,Chiara Petrolini,
o:2108357,Christophorus Crinesius to Sebastian Tengnagel. 1608-02-24,Chiara Petrolini,
o:2108362,Jan Gruter to Sebastian Tengnagel. 1608-04-05,Chiara Petrolini,
o:2108356,Friedrich Taubmann to Sebastian Tengnagel. 1608-02-23,Chiara Petrolini,
o:2108359,Sebastian Tengnagel to s.n.. 1608-03-24,Chiara Petrolini,
o:2108360,Johannes Faber to s.n.. 1529-10-08,Chiara Petrolini,
o:2108367,Samuel Slade to Sebastian Tengnagel. 1608-08-01,Chiara Petrolini,
o:2108366,Petrus Kirstenius to Sebastian Tengnagel. 1608-07-19,Chiara Petrolini,
o:2108365,Jacob Gretser to Sebastian Tengnagel. 1608-05-27,Chiara Petrolini,
o:2108368,Petrus Kirstenius to Sebastian Tengnagel. 1608-08-05,Chiara Petrolini,
o:2108369,Petrus Kirstenius to Sebastian Tengnagel. 1608-08-05,Chiara Petrolini,
o:2108364,Philippus Rinaldius to Sebastian Tengnagel. 1608-05-03,Chiara Petrolini,
o:2108363,Jan Gruter to Sebastian Tengnagel. 1608-04-06,Chiara Petrolini,
o:2108373,Robert de Scheilder to Sebastian Tengnagel. 1608-11-26,Chiara Petrolini,
o:2108372,Jacob Gretser to Sebastian Tengnagel. 1608-11-17,Chiara Petrolini,
o:2108375,Marquard Freher to Sebastian Tengnagel. 1608-12-13,Chiara Petrolini,
o:2108376,Sebastian Tengnagel to Robert de Scheilder. 1608-12-25,Chiara Petrolini,
o:2108374,David Hoeschel to Sebastian Tengnagel. 1608-12-13,Chiara Petrolini,
o:2108370,Christophorus Crinesius to Sebastian Tengnagel. 1608-08-08,Chiara Petrolini,
o:2108371,Jan Gruter to Sebastian Tengnagel. 1608-09-26,Chiara Petrolini,
o:2108377,Petrus Kirstenius to Sebastian Tengnagel. 1609-01-09,Chiara Petrolini,
o:2108379,Petrus Kirstenius to Sebastian Tengnagel. 1609-03-05,Chiara Petrolini,
o:2108380,Jacob Gretser to Sebastian Tengnagel. 1609-03-05,Chiara Petrolini,
o:2108378,Sebastian Tengnagel to David Hoeschel. 1609-02-28,Chiara Petrolini,
o:2108383,Christoph Donauer to Sebastian Tengnagel. 1609-03-21,Chiara Petrolini,
o:2108382,Konrad Rittershausen to Sebastian Tengnagel. 1609-03-18,Chiara Petrolini,
o:2108381,David Hoeschel to Sebastian Tengnagel. 1609-03-13,Chiara Petrolini,
o:2108313,Johannes Pistorius to Sebastian Tengnagel. 1604-06-23,Chiara Petrolini,
o:2108314,Johannes Pistorius to Sebastian Tengnagel. 1604-07-03,Chiara Petrolini,
o:2108309,Johannes Pistorius to Sebastian Tengnagel. 1603-07-14,Chiara Petrolini,
o:2108315,Petrus Kirstenius to Sebastian Tengnagel. 1604-11-17,Chiara Petrolini,
o:2108310,Pierre Cavellat to Sebastian Tengnagel. 1603-09-01,Chiara Petrolini,
o:2108305,David Hoeschel to Johann Matthäus Wacker von Wackenfels. 1600-02-10,Chiara Petrolini,
o:2108316,Pierre Cavellat to Sebastian Tengnagel. 1604-12-01,Chiara Petrolini,
o:2108311,Guillaume Cavellat to Sebastian Tengnagel. 1604-03-30,Chiara Petrolini,
o:2108312,Pierre Cavellat to Sebastian Tengnagel. 1604-06-04,Chiara Petrolini,
o:2108322,Petrus Kirstenius to Sebastian Tengnagel. 1605-09-01,Chiara Petrolini,
o:2108320,Nicolaus Serarius to Sebastian Tengnagel. 1605-04-03,Chiara Petrolini,
o:2108317,"Jan Gruter to Hugo Blotius\, Sebastian Tengnagel. 1605-01-24",Chiara Petrolini,
o:2108323,Nicolaus Serarius to Sebastian Tengnagel. 1605-09-27,Chiara Petrolini,
o:2108318,Hieronymus Arnold Rath to Sebastian Tengnagel. 1605-02-22,Chiara Petrolini,
o:2108321,Johann Georg Herwart von Hohenburg to Sebastian Tengnagel. 1605-04-13,Chiara Petrolini,
o:2108319,Martino Bonacina to Sebastian Tengnagel. 1615-03-09,Chiara Petrolini,
o:2108327,Johannes Pistorius to Sebastian Tengnagel. 1606-05-05,Chiara Petrolini,
o:2108329,"Jan Gruter to Hugo Blotius\, Sebastian Tengnagel. 1606-09-18",Chiara Petrolini,
o:2108328,Johannes Pistorius to Sebastian Tengnagel. 1606-09-06,Chiara Petrolini,
o:2108331,"Jan Gruter to Hugo Blotius\, Sebastian Tengnagel. 1606-11-07",Chiara Petrolini,
o:2108324,Franciscus von Meulen to Sebastian Tengnagel. 1605-10-19,Chiara Petrolini,
o:2108326,Philippus Rinaldius to Sebastian Tengnagel. 1606-03-04,Chiara Petrolini,
o:2108330,Gabriel de Buenaventura to Sebastian Tengnagel. 1606-10-14,Chiara Petrolini,
o:2108325,Philippus Rinaldius to Sebastian Tengnagel. 1606-02-25,Chiara Petrolini,
o:2108336,"Jan Gruter to Hugo Blotius\, Sebastian Tengnagel. 1607-01-07",Chiara Petrolini,
o:2108332,Johannes Pistorius to Jacob Gretser. 1606-12-03,Chiara Petrolini,
o:2108335,"Jan Gruter to Hugo Blotius\, Sebastian Tengnagel. 1607-01-07",Chiara Petrolini,
o:2108334,Johannes Pistorius to Sebastian Tengnagel. 1606-12-03,Chiara Petrolini,
o:2108339,Hermann von Questenberg to Sebastian Tengnagel. 1607-07-02,Chiara Petrolini,
o:2108338,Nicolaus Serarius to Sebastian Tengnagel. 1607-04-08,Chiara Petrolini,
o:2108333,Johannes Pistorius to Johannes Zehender. 1606-12-03,Chiara Petrolini,
o:2108337,Isaac Casaubon to Sebastian Tengnagel. 1607-03-18,Chiara Petrolini,
o:2108344,Jacob Gretser to Sebastian Tengnagel. 1607-08-26,Chiara Petrolini,
o:2108346,Jacob Gretser to Sebastian Tengnagel. 1607-10-23,Chiara Petrolini,
o:2108345,Christophorus Crinesius to Sebastian Tengnagel. 1607-10-18,Chiara Petrolini,
o:2108347,Jan Gruter to Sebastian Tengnagel. 1607-11-07,Chiara Petrolini,
o:2108340,Jacobus Darimplius to Sebastian Tengnagel. 1607-07-07,Chiara Petrolini,
o:2108341,Hermann von Questenberg to Sebastian Tengnagel. 1607-08-04,Chiara Petrolini,
o:2108342,Friedrich Taubmann to Sebastian Tengnagel. 1607-08-14,Chiara Petrolini,
o:2108343,Sebastian Tengnagel to Isaac Casaubon. 1607-08-22,Chiara Petrolini,
o:2108388,David Hoeschel to Sebastian Tengnagel. 1609-06-05,Chiara Petrolini,
o:2108390,David Hoeschel to Sebastian Tengnagel. 1609-07-03,Chiara Petrolini,
o:2108384,Heribert Rosweyde to Sebastian Tengnagel. 1608-03-31,Chiara Petrolini,
o:2108385,Jan Gruter to Sebastian Tengnagel. 1609-04-19,Chiara Petrolini,
o:2108386,Job Hartmann von Enenkel to Sebastian Tengnagel. 1609-05-01,Chiara Petrolini,
o:2108389,Jacob Gretser to Sebastian Tengnagel. 1609-06-04,Chiara Petrolini,
o:2108387,Heribert Rosweyde to Sebastian Tengnagel. 1609-05-18,Chiara Petrolini,
o:2108466,Jan Gruter to Sebastian Tengnagel. 1612-04-14,Chiara Petrolini,
o:2108467,John Harington to Sebastian Tengnagel. 1612-05-01,Chiara Petrolini,
o:2108463,Elias Opala to Sebastian Tengnagel. 1611-12-01,Chiara Petrolini,
o:2108464,Jacob Gretser to Sebastian Tengnagel. 1612-03-14,Chiara Petrolini,
o:2108462,Elias Opala to Sebastian Tengnagel. 1611-12-01,Chiara Petrolini,
o:2108465,Petrus Kirstenius to Sebastian Tengnagel. 1612-03-31,Chiara Petrolini,
o:2108468,Johann Lieb to Sebastian Tengnagel. 1612-05-10,Chiara Petrolini,
o:2108488,Reinprecht von Polheim to Sebastian Tengnagel. 1613-12-02,Chiara Petrolini,
o:2108487,Valentinus Leuchtius to Sebastian Tengnagel. 1613-09-18,Chiara Petrolini,
o:2108484,Sebastian Tengnagel to Matthias. 1613-05-01,Chiara Petrolini,
o:2108486,Péter Pázmány to Sebastian Tengnagel. 1613-09-09,Chiara Petrolini,
o:2108485,Martin Ressler to Sebastian Tengnagel. 1613-07-13,Chiara Petrolini,
o:2108483,Johannes Decker to Sebastian Tengnagel. 1613-05-09,Chiara Petrolini,
o:2108489,Matthias to s.n.. 1614-01-20,Chiara Petrolini,
o:2108501,Sebastian Tengnagel to Thomas Erpenius. 1614-08-23,Chiara Petrolini,
o:2108502,Sebastian Tengnagel to Daniel Heinsius. 1614-08-23,Chiara Petrolini,
o:2108498,Jacques-Auguste De Thou to Robert de Scheilder. 1614-07-22,Chiara Petrolini,
o:2108497,Georg Remus to Sebastian Tengnagel. 1614-06-21,Chiara Petrolini,
o:2108500,Robert de Scheilder to Sebastian Tengnagel. 1614-08-16,Chiara Petrolini,
o:2108499,Christoph Gewold to Sebastian Tengnagel. 1614-08-13,Chiara Petrolini,
o:2108503,Sebastian Tengnagel to Thomas Erpenius. 1614-08-23,Chiara Petrolini,
o:2108515,Thomas Erpenius to Sebastian Tengnagel. 1614-11-20,Chiara Petrolini,
o:2108513,Valentinus Leuchtius to Sebastian Tengnagel. 1614-10-06,Chiara Petrolini,
o:2108516,Christoph Gewold to Sebastian Tengnagel. 1614-11-26,Chiara Petrolini,
o:2108517,Seyfried Christoph von Breuner to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2108514,Johannes Decker to Sebastian Tengnagel. 1614-11-13,Chiara Petrolini,
o:2108511,Sebastian Tengnagel to Jacques-Auguste de Thou. 1614-09-08,Chiara Petrolini,
o:2108512,Sebastian Tengnagel to Fronton du Duc. 1614-09-08,Chiara Petrolini,
