pid,dc_title,dc_creator,bib_published
o:2108397,Christophorus Crinesius to Sebastian Tengnagel. [1609-10-09],Chiara Petrolini,
o:2108393,John Harington to Henry Wotton. 1609-09-04,Chiara Petrolini,
o:2108398,Georg Sturn to Sebastian Tengnagel. 1610-02-03,Chiara Petrolini,
o:2108392,Christophorus Crinesius to Sebastian Tengnagel. 1609-08-27,Chiara Petrolini,
o:2108396,Karl von Liechtenstein to Sebastian Tengnagel. 1609-10-19,Chiara Petrolini,
o:2108395,Georg Sturn to Sebastian Tengnagel. 1609-12-16,Chiara Petrolini,
o:2108394,John Harington to William Bedell. 1609-09-04,Chiara Petrolini,
o:2108391,Vincenzo Riccardi to Sebastian Tengnagel. 1609-08-01,Chiara Petrolini,
o:2108400,Guillaume Le Bé to Sebastian Tengnagel. 1610-03-20,Chiara Petrolini,
o:2108402,Georg Remus to Sebastian Tengnagel. 1610-04-11,Chiara Petrolini,
o:2108404,Henry Savile to Sebastian Tengnagel. 1610-08-01,Chiara Petrolini,
o:2108401,Jan Gruter to Sebastian Tengnagel. 1604-04-10,Chiara Petrolini,
o:2108405,Johann Lieb to Sebastian Tengnagel. 1610-08-02,Chiara Petrolini,
o:2108403,Jordanus Louffius to Sebastian Tengnagel. 1610-04-27,Chiara Petrolini,
o:2108399,Henry Savile to Sebastian Tengnagel. 1610-02-03,Chiara Petrolini,
o:2108406,Petrus Kirstenius to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2108412,David Hoeschel to Sebastian Tengnagel. 1610-10-27,Chiara Petrolini,
o:2108411,[Jan Gruter] to Redzenberger. 1610-10-20,Chiara Petrolini,
o:2108408,Johann Lieb to Sebastian Tengnagel. 1610-10-16,Chiara Petrolini,
o:2108410,[Jakob Christmann] to [Jan Gruter]. s.d.,Chiara Petrolini,
o:2108407,Konrad Rittershausen to Sebastian Tengnagel. 1610-09-27,Chiara Petrolini,
o:2108409,Albert von Schilling to Sebastian Tengnagel. 1610-10-16,Chiara Petrolini,
o:2108419,Sebastian Tengnagel to Petrus Kirstenius. 1610-11-21,Chiara Petrolini,
o:2108415,Sebastian Tengnagel to Konrad Rittershausen. 1610-11-19,Chiara Petrolini,
o:2108413,Johann Lieb to Sebastian Tengnagel. 1610-11-15,Chiara Petrolini,
o:2108414,Christophorus Crinesius to Sebastian Tengnagel. 1610-11-19,Chiara Petrolini,
o:2108416,Sebastian Tengnagel to Jacob Gretser. 1610-11-20,Chiara Petrolini,
o:2108417,Sebastian Tengnagel to Georg Sturn. 1610-11-20,Chiara Petrolini,
o:2108418,Sebastian Tengnagel to [Jordanus Louffius]. 1610-11,Chiara Petrolini,
o:2108426,Sebastian Tengnagel to Heribert Rosweyde. 1611-02-12,Chiara Petrolini,
o:2108423,Sebastian Tengnagel to Isaac Casaubon. 1610-11-27,Chiara Petrolini,
o:2108422,Sebastian Tengnagel to Johann van Giffen. s.d.,Chiara Petrolini,
o:2108420,Sebastian Tengnagel to Baldassare Bolognetti. 1610-11-26,Chiara Petrolini,
o:2108424,Georg Sturn to Sebastian Tengnagel. 1610-12-01,Chiara Petrolini,
o:2108425,Sebastian Tengnagel to Georg von Geisberg. 1610-12-08,Chiara Petrolini,
o:2108421,Sebastian Tengnagel to Petrus Kirstenius. 1611-01-10,Chiara Petrolini,
o:2108432,Sebastian Tengnagel to s.n.. 1611-02-05,Chiara Petrolini,
o:2108428,David Hoeschel to Sebastian Tengnagel. 1611-01-13,Chiara Petrolini,
o:2108427,Sebastian Tengnagel to Michael Starzer. 1611-09-27,Chiara Petrolini,
o:2108433,Johann Lieb to Sebastian Tengnagel. 1611-02-08,Chiara Petrolini,
o:2108431,Sebastian Tengnagel to Daniel Heinsius. 1611-02-02,Chiara Petrolini,
o:2108430,Sebastian Tengnagel to Bartholomäus Immendorf. 1611-01-29,Chiara Petrolini,
o:2108429,Petrus Kirstenius to Sebastian Tengnagel. 1611-01-27,Chiara Petrolini,
o:2108440,Sebastian Tengnagel to Jakob Christmann. 1611-02-28,Chiara Petrolini,
o:2108435,John Harington to Sebastian Tengnagel. 1611-02-12,Chiara Petrolini,
o:2108436,Sebastian Tengnagel to Daniel Heinsius. 1611-02-28,Chiara Petrolini,
o:2108439,Sebastian Tengnagel to Marquard Freher. 1611-02-28,Chiara Petrolini,
o:2108437,Sebastian Tengnagel to Guillaume Le Bé. 1611-02-28,Chiara Petrolini,
o:2108438,Sebastian Tengnagel to s.n.. 1611-02-28,Chiara Petrolini,
