pid,dc_title,dc_creator,bib_published
o:2109781,Sibrandus van Wyningen to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109787,Jakob Christmann to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109786,Jan Nasson to Johannes Decker. s.d.,Chiara Petrolini,
o:2109784,[Hollant] to [Sebastian Tengnagel]. s.d.,Chiara Petrolini,
o:2109785,s.n. to s.n.,Chiara Petrolini,
o:2109783,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109782,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109792,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109789,Josephus Abudacnus to Sebastian Tengnagel. 1627-07-29,Chiara Petrolini,
o:2109793,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109788,Jakob Christmann to Sebastian Tengnagel. 1611,Chiara Petrolini,
o:2109790,Johann Theobald Schönwetter to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109791,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109794,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109630,Josephus Abudacnus to Sebastian Tengnagel. 1625-01-03,Chiara Petrolini,
o:2109633,Jan van Wyningen to Sebastian Tengnagel. 1625-02-11,Chiara Petrolini,
o:2109634,Jan van Wyningen to Sebastian Tengnagel. 1625-02-17,Chiara Petrolini,
o:2109632,Petrus Kirstenius to Sebastian Tengnagel. 1625-01-30,Chiara Petrolini,
o:2109631,Jacob Wolff to Sebastian Tengnagel. 1625-01-19,Chiara Petrolini,
o:2109636,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-02-28,Chiara Petrolini,
o:2109640,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-01-04,Chiara Petrolini,
o:2109638,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-03-11,Chiara Petrolini,
o:2109639,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-03-25,Chiara Petrolini,
o:2109637,Petrus Kirstenius to Sebastian Tengnagel. 1625-03-06,Chiara Petrolini,
o:2109641,Petrus Kirstenius to Sebastian Tengnagel. 1625-04-04,Chiara Petrolini,
o:2109635,Von Ense to Sebastian Tengnagel. 1625-02-22,Chiara Petrolini,
o:2109642,Michel D'Asquier to Sebastian Tengnagel. 1625-04-04,Chiara Petrolini,
o:2109643,Bernardus Paludanus to Sebastian Tengnagel. 1625-04-07,Chiara Petrolini,
o:2109644,Johann Ludwig Von Hagen to Sebastian Tengnagel. 1625-04-08,Chiara Petrolini,
o:2109648,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-04-29,Chiara Petrolini,
o:2109647,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-04-22,Chiara Petrolini,
o:2109646,Jan van Wyningen to Sebastian Tengnagel. 1625-04-18,Chiara Petrolini,
o:2109645,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-04-15,Chiara Petrolini,
o:2109649,Michel D'Asquier to Sebastian Tengnagel. 1625-05-02,Chiara Petrolini,
o:2109651,Sibrandus van Wyningen to Sebastian Tengnagel. 1625-06-07,Chiara Petrolini,
o:2109653,Peter Sutter to Sebastian Tengnagel. 1626-03-07,Chiara Petrolini,
