pid,dc_title,dc_creator,bib_published
o:2109652,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-08-11,Chiara Petrolini,
o:2109650,Petrus Kirstenius to Sebastian Tengnagel. 1625-05-27,Chiara Petrolini,
o:2109660,Jan Gruter to Sebastian Tengnagel. 1625-09-27,Chiara Petrolini,
o:2109659,Lambertus Naverius to Sebastian Tengnagel. 1625-09-17,Chiara Petrolini,
o:2109657,Jan van Wyningen to Sebastian Tengnagel. 1625-09-11,Chiara Petrolini,
o:2109656,Philipp Melchior Wolffhardt to Sebastian Tengnagel. 1625-09-19,Chiara Petrolini,
o:2109654,Christoph Haffner to Ferdinand II. 1625-07-22,Chiara Petrolini,
o:2109658,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-09-16,Chiara Petrolini,
o:2109655,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-09-09,Chiara Petrolini,
o:2109663,[Johann Ludwig von Hagen] to Sebastian Tengnagel. 1625-10-06,Chiara Petrolini,
o:2109662,Elias Ehinger to Sebastian Tengnagel. 1625-10-05,Chiara Petrolini,
o:2109666,Johann Ludwig von Hagen to Nicolaus Deurin. 1625-10-21,Chiara Petrolini,
o:2109664,Johann Heins to Sebastian Tengnagel. 1625-10-06,Chiara Petrolini,
o:2109667,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-10-21,Chiara Petrolini,
o:2109665,Geronimo Marescalchi to Sebastian Tengnagel. 1625-10-20,Chiara Petrolini,
o:2109661,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-09-30,Chiara Petrolini,
o:2109670,Job Hartmann von Enenkel to Sebastian Tengnagel. 1625-11-20,Chiara Petrolini,
o:2109672,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-12-23,Chiara Petrolini,
o:2109668,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-10-27,Chiara Petrolini,
o:2109673,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-12-02,Chiara Petrolini,
o:2109669,Sibrandus van Wyningen to Sebastian Tengnagel. 1625-11-20,Chiara Petrolini,
o:2109671,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-12-02,Chiara Petrolini,
o:2109674,Lambertus Naverius to Sebastian Tengnagel. 1626-01-03,Chiara Petrolini,
o:2109680,Sibrandus Van Wyningen to Sebastian Tengnagel. 1626-02-06,Chiara Petrolini,
o:2109677,Sibrandus van Wyningen to Sebastian Tengnagel. 1626-01-19,Chiara Petrolini,
o:2109676,Sibrandus van Wyningen to Sebastian Tengnagel. 1626-01-05,Chiara Petrolini,
o:2109678,Johann Ludwig von Hagen to Sebastian Tengnagel. 1625-01-27,Chiara Petrolini,
o:2109679,Johann Ludwig von Hagen to Ferdinand II. 1626-02-02,Chiara Petrolini,
o:2109681,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-02-09,Chiara Petrolini,
o:2109675,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-01-05,Chiara Petrolini,
o:2109682,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-02-12,Chiara Petrolini,
o:2109688,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-03-24,Chiara Petrolini,
o:2109685,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-03-09,Chiara Petrolini,
o:2109687,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-03-17,Chiara Petrolini,
o:2109684,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-09-17,Chiara Petrolini,
o:2109686,Lambertus Naverius to Sebastian Tengnagel. 1626-03-11,Chiara Petrolini,
o:2109683,Nicolae Patrascu to Sebastian Tengnagel. 1626-02-12,Chiara Petrolini,
o:2109690,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-04-07,Chiara Petrolini,
o:2109696,[Sibrandus van Wyningen] to Sebastian Tengnagel. 1626-05-05,Chiara Petrolini,
o:2109695,Jan Gruter to Sebastian Tengnagel. 1626-04-22,Chiara Petrolini,
o:2109689,Jan Gruter to Sebastian Tengnagel. 1626-03-31,Chiara Petrolini,
o:2109693,Cornelius a Lapide to Petrus Lansselius. 1626-04-24,Chiara Petrolini,
o:2109692,Lambertus Naverius to Sebastian Tengnagel. 1626-04-16,Chiara Petrolini,
o:2109691,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-04-14,Chiara Petrolini,
o:2109698,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-05-12,Chiara Petrolini,
o:2109699,Sibrandus van Wyningen to Sebastian Tengnagel. 1626-05-26,Chiara Petrolini,
o:2109700,Sebastian Tengnagel to Jan Gruter. 1626-06-02,Chiara Petrolini,
o:2109701,Johann Ludwig von Hagen to Sebastian Tengnagel. 1626-06-09,Chiara Petrolini,
o:2109703,Martin II Günter to Sebastian Tengnagel. 1626-06-29,Chiara Petrolini,
o:2109702,Sibrandus van Wyningen to Sebastian Tengnagel. 1626-06-29,Chiara Petrolini,
o:2109697,Ferdinand II to s.n.. 1626-05-08,Chiara Petrolini,
o:2109708,Jacques Sirmond to Sebastian Tengnagel. 1626-09-03,Chiara Petrolini,
o:2109709,Jacobus ab Hove to Sebastian Tengnagel. 1626-08-08,Chiara Petrolini,
o:2109706,M. de Vertematis to Sebastian Tengnagel. 1626-08-21,Chiara Petrolini,
o:2109705,Sibrandus van Wyningen to Sebastian Tengnagel. 1626-07-14,Chiara Petrolini,
o:2109704,Eva van Opmeer to Sebastian Tengnagel. 1626-06-30,Chiara Petrolini,
o:2109707,Sibrandus van Wyningen to Sebastian Tengnagel. 1626-07-14,Chiara Petrolini,
o:2109710,[Sibrandus van Wyningen] to Sebastian Tengnagel. 1626-10-06,Chiara Petrolini,
o:2109715,Petrus Lansselius to Sebastian Tengnagel. 1627-01-01,Chiara Petrolini,
o:2109713,Sebastiano Forteguerra to Sebastian Tengnagel. 1626-11-28,Chiara Petrolini,
o:2109711,Petrus Lansselius to Sebastian Tengnagel. 1626-10-07,Chiara Petrolini,
o:2109714,[Sibrandus van Wyningen] to Sebastian Tengnagel. 1626-12-01,Chiara Petrolini,
o:2109717,Sibrandus van Wyningen to Sebastian Tengnagel. 1627-01-12,Chiara Petrolini,
o:2109712,Lambertus Naverius to Sebastian Tengnagel. 1626-11-07,Chiara Petrolini,
o:2109716,Martin Hefner to s.n.. 1627-01-02,Chiara Petrolini,
o:2109718,Petrus Lansselius to Sebastian Tengnagel. 1627-02-20,Chiara Petrolini,
o:2109723,Sibrandus van Wyningen to Sebastian Tengnagel. 1627-05-18,Chiara Petrolini,
o:2109720,Sibrandus van Wyningen to Sebastian Tengnagel. 1627-03-02,Chiara Petrolini,
o:2109719,Sebastiano Forteguerra to Sebastian Tengnagel. 1627-02-27,Chiara Petrolini,
o:2109722,Tycho Brahe's heirs to Sebastian Tengnagel. 1627-05-18,Chiara Petrolini,
o:2109721,Petrus Kirstenius to Sebastian Tengnagel. 1627-04-15,Chiara Petrolini,
o:2109724,Petrus Kirstenius to Sebastian Tengnagel. 1627-06-29,Chiara Petrolini,
o:2109725,Petrus Lansselius to Sebastian Tengnagel. 1627-07-29,Chiara Petrolini,
o:2109730,Wilhelm Schickard to Sebastian Tengnagel. 1627-12-18,Chiara Petrolini,
o:2109729,Veit von Marchtaler to Sebastian Tengnagel. 1627-10-28,Chiara Petrolini,
o:2109727,Ferdinand II to Sebastian Tengnagel. 1627-08-17,Chiara Petrolini,
o:2109728,Gundaker von Liechtenstein to Sebastian Tengnagel. 1627-08-30,Chiara Petrolini,
o:2109731,Veit von Marchtaler to Sebastian Tengnagel. 1627-12-22,Chiara Petrolini,
o:2109726,Sibrandus van Wyningen to Sebastian Tengnagel. 1627-08-03,Chiara Petrolini,
o:2109738,Wilhelm Schickard to Sebastian Tengnagel. 1628-03-25,Chiara Petrolini,
o:2109737,Veit von Marchtaler to Sebastian Tengnagel. 1628-03-12,Chiara Petrolini,
o:2109735,Pietro Della Valle to Scipione Sgambati. 1628-02-06,Chiara Petrolini,
o:2109734,Michel D'Asquier to Sebastian Tengnagel. 1628-02-09,Chiara Petrolini,
o:2109733,Michel D'Asquier to s.n.. 1627,Chiara Petrolini,
o:2109736,Veit von Marchtaler to Sebastian Tengnagel. 1628-03-07,Chiara Petrolini,
o:2109732,Lower-Austrian Government to Sebastian Tengnagel. 1627-12-23,Chiara Petrolini,
o:2109743,Pietro Della Valle to Sebastian Tengnagel. 1628-06-30,Chiara Petrolini,
o:2109744,Andreas Schott to Balthasar Cordier. 1628-07-28,Chiara Petrolini,
o:2109740,Wilhelm Schickard to Sebastian Tengnagel. 1628-04-09,Chiara Petrolini,
o:2109741,Marcus Antonius Panthera to Sebastian Tengnagel. 1628-05-24,Chiara Petrolini,
o:2109739,Johann Ludwig von Hagen to Sebastian Tengnagel. 1628-04-11,Chiara Petrolini,
o:2109742,Marcus Antonius Panthera to Sebastian Tengnagel. 1628-06-17,Chiara Petrolini,
o:2109745,Cyprianus Vermilius to Sebastian Tengnagel. 1628-08-01,Chiara Petrolini,
o:2109747,Wilhelm Schickard to Sebastian Tengnagel. 1628-08-12,Chiara Petrolini,
o:2109746,Wilhelm Schickard to Sebastian Tengnagel. 1628-08-12,Chiara Petrolini,
o:2109748,Wilhelm Schickard to Sebastian Tengnagel. 1628-08-14,Chiara Petrolini,
o:2109749,Johann Ludwig von Hagen to Wratislav von Fürstenberg. 1628-08-14,Chiara Petrolini,
o:2109752,Johannes Hemelarius to Sebastian Tengnagel. 1628-09-14,Chiara Petrolini,
o:2109751,Johannes Hemelarius to Sebastian Tengnagel. 1628-09-14,Chiara Petrolini,
o:2109750,Johann Ludwig von Hagen to Ferdinand II. 1628-08-15,Chiara Petrolini,
o:2109757,Oswald Smend to Sebastian Tengnagel. 1629-01-09,Chiara Petrolini,
o:2109755,Petrus Lansselius to Francesco Nigroni. 1628-12-01,Chiara Petrolini,
o:2109753,Valentinus Leuchtius to Sebastian Tengnagel. 1628-10-09,Chiara Petrolini,
o:2109758,Melchior Goldast to Sebastian Tengnagel. 1629-01-19,Chiara Petrolini,
o:2109759,Oswald Smend to Ferdinand II. 1629-02-01,Chiara Petrolini,
o:2109754,Petrus Lansselius to Francesco Nigroni. 1628-10-20,Chiara Petrolini,
o:2109756,Lower-Austrian Government to s. n.. 1628-12-22,Chiara Petrolini,
o:2109766,Sebastian Tengnagel to Pietro Della Valle. 1629-09-08,Chiara Petrolini,
o:2109765,Cornelius Curtius to Nicolaus Crusenius. 1629-08-04,Chiara Petrolini,
o:2109764,Wilhelm Schickard to Sebastian Tengnagel. 1629-06-11,Chiara Petrolini,
o:2109760,Oswald Smend to Sebastian Tengnagel. 1629-02-01,Chiara Petrolini,
o:2109761,Wilhelm Schickard to Sebastian Tengnagel. 1629-02-01,Chiara Petrolini,
o:2109763,Ferdinand II to Sebastian Tengnagel. 1629-07-04,Chiara Petrolini,
o:2109762,Theodor Ebert to Sebastian Tengnagel. 1629-04-16,Chiara Petrolini,
o:2109767,Pietro Della Valle to Scipione Sgambati. 1629-10-27,Chiara Petrolini,
o:2109773,Wilhelm Schickard to Sebastian Tengnagel. 1631-05-02,Chiara Petrolini,
o:2109769,Albert von Schilling to Sebastian Tengnagel. 1630-01-19,Chiara Petrolini,
o:2109770,Sebastian Tengnagel to Ferdinand II. 1630,Chiara Petrolini,
o:2109772,Cornelius Curtius to Sebastian Tengnagel. 1630-02-16,Chiara Petrolini,
o:2109771,Claude Chifflet to [Jean-Jacques Chifflet]. 1630-02-13,Chiara Petrolini,
o:2109768,Ferdinand II to s.n.. 1639-01-19,Chiara Petrolini,
o:2109776,Wilhelm Schickard to Sebastian Tengnagel. 1631-07-25,Chiara Petrolini,
o:2109778,Pietro Della Valle to Sebastian Tengnagel. 1634-07-16,Chiara Petrolini,
o:2109780,Wilhelm Schickard to Johann Michael Metzler. 1631-03-26,Chiara Petrolini,
o:2109775,Petrus Kirstenius to Sebastian Tengnagel. 1631-03-26,Chiara Petrolini,
o:2109779,Sebastian Tengnagel to s.n.. 1635-04-09,Chiara Petrolini,
o:2109774,Claude Chifflet to Sebastian Tengnagel. 1630-04-05,Chiara Petrolini,
o:2109777,Gundaker von Liechtenstein to [Sebastian Tengnagel]. 1633-01-20,Chiara Petrolini,
o:2109795,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109798,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109797,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109799,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109796,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109803,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109802,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109804,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109805,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109800,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109801,Job Hartmann von Enenkel to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109806,[Peter Bloem] to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109807,s.n. to Ferdinand II s.d.,Chiara Petrolini,
o:2109808,Michel D'Asquier to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109813,Jacob van Zill to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109809,Jodocus Coccius to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109812,Johann Georg Herwart von Hohenburg to s.n.. [1605],Chiara Petrolini,
o:2109811,Jodocus Coccius to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109810,Jodocus Coccius to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109814,s.n. to Sebastian Tengnagel s.d.,Chiara Petrolini,
o:2109819,Sebastian Tengnagel to Jan Gruter. 1607-02-23,Chiara Petrolini,
o:2109821,Avraham ben Efrayim Schlüter to Sebastian Tengnagel. 1603-07-09,Chiara Petrolini,
o:2109816,Sebastian Tengnagel to Maximilian I. [1612],Chiara Petrolini,
o:2109815,Sebastian Tengnagel to s.n.. s.d.,Chiara Petrolini,
o:2109820,Sebastian Tengnagel to s.n.. s.d.,Chiara Petrolini,
o:2109818,Sebastian Tengnagel to s.n.. s.d.,Chiara Petrolini,
o:2109817,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109822,Sebastian Tengnagel to Rabbi Ya‘aqov Ashkenazi. s.d.,Chiara Petrolini,
o:2109828,Fridericus Pluenis to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109827,Vincent Noguera to Robert de Scheilder. s.d.,Chiara Petrolini,
o:2109823,Leo Lucerna to Samuel Archevolti. s.d.,Chiara Petrolini,
o:2109826,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109824,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109825,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109833,Christophorus Colerus to Johann Matthäus Wacker von Wackenfels. s.d.,Chiara Petrolini,
o:2109830,Reinprecht von Polheim to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109835,Balthasar Moretus to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109832,Elias Opala to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109829,Gundaker von Liechtenstein to s.n.. s.d.,Chiara Petrolini,
o:2109831,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109834,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109836,Sebastian Tengnagel to Jan Gruter. < 1608,Chiara Petrolini,
o:2109839,Sebastian Tengnagel to Lower-Austrian Government. 1629,Chiara Petrolini,
o:2109840,Sebastian Tengnagel to Jan Gruter. 1626,Chiara Petrolini,
o:2109842,Johannes Khattes to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109838,Sebastian Tengnagel to Ferdinand II. s.d.,Chiara Petrolini,
o:2109841,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109837,s.n. to s.n. s.d.,Chiara Petrolini,
o:2109846,Sebastian Tengnagel to Job Hartmann von Enenkel. s.d.,Chiara Petrolini,
o:2109844,Nicolae Patrascu to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109848,Leopold V to Frans Gansneb Tengnagel. 1621-10-17,Chiara Petrolini,
o:2109843,Jacques-Auguste De Thou to Robert de Scheilder. s.d.,Chiara Petrolini,
o:2109847,Marquard Freher to Jan Gruter. s.d.,Chiara Petrolini,
o:2109849,Leopold V to Frans Gansneb Tengnagel. 1621-11-26,Chiara Petrolini,
o:2109845,Nicolae Patrascu to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2109850,Leopold V to Frans Gansneb Tengnagel. 1621-01-10,Chiara Petrolini,
o:2109854,Christoph Scheiner to Frans Gansneb Tengnagel. 1621-11-04,Chiara Petrolini,
o:2109852,Frans Gansneb Tengnagel to Leopold V. 1621-12-12,Chiara Petrolini,
o:2109851,Leopold V to Frans Gansneb Tengnagel. s.d.,Chiara Petrolini,
o:2109853,Leopold V to Frans Gansneb Tengnagel. 1621-10-17,Chiara Petrolini,
o:2109855,[Ferdinand II] to s.n.. 1621-11-05,Chiara Petrolini,
o:2109856,[John Frederick] to s.n.. 1621-11-19,Chiara Petrolini,
o:2109858,Gottfried Tampach to Frans Gansneb Tengnagel. 1628-04-07,Chiara Petrolini,
o:2109859,Gottfried Tampach to Frans Gansneb Tengnagel. 1609-12-21,Chiara Petrolini,
o:2109857,Leopold V to Frans Gansneb Tengnagel. 1621-11-22,Chiara Petrolini,
