pid,dc_title,dc_creator,bib_published
o:2108521,Caspar Dornau to Sebastian Tengnagel. 1615-01-12,Chiara Petrolini,
o:2108522,Georg Remus to Sebastian Tengnagel. 1615-01-12,Chiara Petrolini,
o:2108523,Johannes Cellarius to Sebastian Tengnagel. 1615-01-13,Chiara Petrolini,
o:2108525,Christoph Gewold to Sebastian Tengnagel. 1615-01-16,Chiara Petrolini,
o:2108527,Georg Remus to Sebastian Tengnagel. 1615-03-31,Chiara Petrolini,
o:2108526,Balthasar Exner to Sebastian Tengnagel. 1615-02-22,Chiara Petrolini,
o:2108524,Johann Prigglmayer to Sebastian Tengnagel. 1615-01-14,Chiara Petrolini,
o:2108538,Robert de Scheilder to Sebastian Tengnagel. 1615-06-07,Chiara Petrolini,
o:2108536,Robert de Scheilder to Sebastian Tengnagel. 1615-06-20,Chiara Petrolini,
o:2108535,Caspar Dornau to Sebastian Tengnagel. 1615-06-27,Chiara Petrolini,
o:2108539,Johann Georg Herwart von Hohenburg to Sebastian Tengnagel. 1615-07-29,Chiara Petrolini,
o:2108541,Martin Mager von Schönberg to Sebastian Tengnagel. 1615-09-20,Chiara Petrolini,
o:2108537,Valentinus Leuchtius to Sebastian Tengnagel. 1615-06-28,Chiara Petrolini,
o:2108540,Jacob Gretser to Sebastian Tengnagel. 1615-08-15,Chiara Petrolini,
o:2108557,Valentinus Leuchtius to Sebastian Tengnagel. 1616-04-16,Chiara Petrolini,
o:2108561,Petrus Kirstenius to Sebastian Tengnagel. 1616-01-06,Chiara Petrolini,
o:2108559,Isaac Analus to Arnold Willelms. 1616-05-17,Chiara Petrolini,
o:2108562,Caspar Dornau to Sebastian Tengnagel. 16-06-1616,Chiara Petrolini,
o:2108560,Georg Sturn to Sebastian Tengnagel. 1616-05-28,Chiara Petrolini,
o:2108556,Marquard Freher to Sebastian Tengnagel. 1610-04-06,Chiara Petrolini,
o:2108558,Jacob Gretser to Sebastian Tengnagel. 1615-08-05,Chiara Petrolini,
o:2108580,Robert de Scheilder to Sebastian Tengnagel. 1616-11-11,Chiara Petrolini,
o:2108579,Petrus Kirstenius to Sebastian Tengnagel. 1616-01-11,Chiara Petrolini,
o:2108583,Robert de Scheilder to Sebastian Tengnagel. 1616-07-12,Chiara Petrolini,
o:2108577,Robert de Scheilder to Sebastian Tengnagel. 1616-10-29,Chiara Petrolini,
o:2108578,Robert de Scheilder to Sebastian Tengnagel. 1616-10-01,Chiara Petrolini,
o:2108581,Anton Hierat to Sebastian Tengnagel. 1616-11-20,Chiara Petrolini,
o:2108582,Caspar Dornau to Sebastian Tengnagel. 1616-11-29,Chiara Petrolini,
o:2108586,Thomas Erpenius to Sebastian Tengnagel. 1617-05-02,Chiara Petrolini,
o:2108590,Johann Lieb to Sebastian Tengnagel. 1617-03-01,Chiara Petrolini,
o:2108584,Christophorus Crinesius to Sebastian Tengnagel. 1617-01-15,Chiara Petrolini,
o:2108587,Wenzel Wilhelm Popel von Lobkowitz to Sebastian Tengnagel. 1617-02-06,Chiara Petrolini,
o:2108589,David Hoeschel to Sebastian Tengnagel. 1617-02-18,Chiara Petrolini,
o:2108585,Thomas Segeth to Sebastian Tengnagel. 1617-02-17,Chiara Petrolini,
o:2108588,Sebastian Tengnagel to Matthias. 1617-02-15,Chiara Petrolini,
o:2108597,Anton Hierat to Sebastian Tengnagel. 1617-03-06,Chiara Petrolini,
o:2108593,Franciscus Szegi to Sebastian Tengnagel. 1617-03-28,Chiara Petrolini,
o:2108591,Wenzel Wilhelm Popel von Lobkowitz to Sebastian Tengnagel. 1617-03-10,Chiara Petrolini,
o:2108594,Robert de Scheilder to Sebastian Tengnagel. 1617-08-04,Chiara Petrolini,
o:2108595,Gerhard von Questenberg to Sebastian Tengnagel. 1617-11-03,Chiara Petrolini,
o:2108592,Johannes Kinckius to Sebastian Tengnagel. 1617-03-25,Chiara Petrolini,
o:2108596,Johannes Faber to s.n.. 1617-03-21,Chiara Petrolini,
o:2108607,Jan van Wyningen to Sebastian Tengnagel. 1617-07-01,Chiara Petrolini,
o:2108609,Johannes Kinckius to Sebastian Tengnagel. 1617-05-08,Chiara Petrolini,
o:2108606,Jan van Wyningen to Sebastian Tengnagel. 1617-07-18,Chiara Petrolini,
o:2108608,Jan van Wyningen to Sebastian Tengnagel. 1617-01-08,Chiara Petrolini,
o:2108610,Anton Hierat to Sebastian Tengnagel. 1617-08-20,Chiara Petrolini,
o:2108605,Georg Sturn to Sebastian Tengnagel. 1617-07-27,Chiara Petrolini,
o:2108611,Jan van Wyningen to Sebastian Tengnagel. 1617-08-28,Chiara Petrolini,
o:2108619,Franciscus Szegi to Sebastian Tengnagel. 1618-05-02,Chiara Petrolini,
o:2108620,Hans Ludwig von Ulm to Sebastian Tengnagel. 1618-03-24,Chiara Petrolini,
o:2108622,Jan van Wyningen to Sebastian Tengnagel. 1618-05-06,Chiara Petrolini,
o:2108623,Marcellus Franckheim to s.n.. 1618-07-01,Chiara Petrolini,
o:2108624,Maternus Heyder to Sebastian Tengnagel. 1618-09-12,Chiara Petrolini,
o:2108621,Jordanus Louffius to Sebastian Tengnagel. 1618-05-27,Chiara Petrolini,
o:2108625,Octavio de Tassis to s.n.. 1618-09-12,Chiara Petrolini,
o:2108645,Marcellus Franckheim to Frans Gansneb Tengnagel. 1619-10-03,Chiara Petrolini,
o:2108641,Péter Pázmány to Sebastian Tengnagel. 1619-01-09,Chiara Petrolini,
o:2108643,Jan van Wyningen to Sebastian Tengnagel. 1619-09-16,Chiara Petrolini,
o:2108646,Jan van Wyningen to Sebastian Tengnagel. 1619-07-10,Chiara Petrolini,
o:2108644,Jan van Wyningen to Sebastian Tengnagel. 1619-09-17,Chiara Petrolini,
o:2108642,Balthasar Moretus to Sebastian Tengnagel. 1619-06-09,Chiara Petrolini,
o:2108640,Leopold V to Sebastian Tengnagel. 1619-08-21,Chiara Petrolini,
o:2108656,Robert de Scheilder to Sebastian Tengnagel. 1620-05-13,Chiara Petrolini,
o:2108654,Jacob Gretser to Sebastian Tengnagel. 1610-04-23,Chiara Petrolini,
o:2108660,Jan van Wyningen to Sebastian Tengnagel. 1620-07-21,Chiara Petrolini,
o:2108657,Jan van Wyningen to Sebastian Tengnagel. 1620-06-16,Chiara Petrolini,
o:2108655,Jan van Wyningen to Sebastian Tengnagel. 1620-12-05,Chiara Petrolini,
o:2108658,Caspar Hofman to Sebastian Tengnagel. 1620-07-16,Chiara Petrolini,
o:2108661,Johannes Remus Quietanus to Sebastian Tengnagel. 1615-03-22,Chiara Petrolini,
o:2108659,Caspar Hofman to Sebastian Tengnagel. 1620-07-16,Chiara Petrolini,
o:2108666,Robert de Scheilder to Sebastian Tengnagel. 1620-10-20,Chiara Petrolini,
o:2108665,Jan van Wyningen to Sebastian Tengnagel. 1620-10-13,Chiara Petrolini,
o:2108668,Jacob Gretser to Sebastian Tengnagel. 1620-12-20,Chiara Petrolini,
o:2108664,Jan van Wyningen to Sebastian Tengnagel. 1620-06-10,Chiara Petrolini,
o:2108663,Jan van Wyningen to Sebastian Tengnagel. 1620-08-18,Chiara Petrolini,
o:2108662,Johannes Remus Quietanus to Sebastian Tengnagel. 1620-07-22,Chiara Petrolini,
o:2108667,Robert de Scheilder to Sebastian Tengnagel. 1620-11-26,Chiara Petrolini,
o:2108672,Sebastian Tengnagel to Vincent Noguera. 1621-03-13,Chiara Petrolini,
o:2108675,Sebastian Tengnagel to Vincent Noguera. 1621-04-24,Chiara Petrolini,
o:2108670,Thomas Erpenius to Sebastian Tengnagel. 1621-01-02,Chiara Petrolini,
o:2108674,Jan van Wyningen to Sebastian Tengnagel. 1621-03-23,Chiara Petrolini,
o:2108671,Johann Seyfried to Sebastian Tengnagel. 1621-11-02,Chiara Petrolini,
o:2108673,Jan van Wyningen to Sebastian Tengnagel. 1621-09-03,Chiara Petrolini,
o:2108669,Hollant to Sebastian Tengnagel. 1621-08-01,Chiara Petrolini,
o:2108681,Jan van Wyningen to Sebastian Tengnagel. 1621-06-15,Chiara Petrolini,
o:2108682,Johann Küttner von Künitz to Sebastian Tengnagel. 1621-11-08,Chiara Petrolini,
o:2108680,Jan van Wyningen to Sebastian Tengnagel. 1621-08-06,Chiara Petrolini,
o:2108679,Jan Gruter to Sebastian Tengnagel. 1621-05-30,Chiara Petrolini,
o:2108676,Jan van Wyningen to Sebastian Tengnagel. 1621-04-27,Chiara Petrolini,
o:2108677,Hermannus Ytterius to Wratislav von Fürstenberg. 1621-04-29,Chiara Petrolini,
o:2108678,Pierre Cavellat to Sebastian Tengnagel. 1621-05-29,Chiara Petrolini,
o:2108686,Johann Küttner von Künitz to Sebastian Tengnagel. 1621-10-15,Chiara Petrolini,
o:2108683,Johann Seyfried to Sebastian Tengnagel. 1621-08-30,Chiara Petrolini,
o:2108688,Johann Seyfried to Sebastian Tengnagel. 1621-10-18,Chiara Petrolini,
o:2108684,Bartholomäus Klimannus to Sebastian Tengnagel. 1621-08-09,Chiara Petrolini,
o:2108685,Johann Küttner von Künitz to Sebastian Tengnagel. s.d.,Chiara Petrolini,
o:2108687,Jacob Gretser to Sebastian Tengnagel. 1621-10-16,Chiara Petrolini,
o:2108689,Matthäus Rader to Sebastian Tengnagel. 1621-11-01,Chiara Petrolini,
o:2108692,Elias Opala to Sebastian Tengnagel. 1622-01-21,Chiara Petrolini,
o:2108690,Robert de Scheilder to Sebastian Tengnagel. 1621-11-12,Chiara Petrolini,
o:2108696,Jordanus Louffius to Sebastian Tengnagel. 1622-03-17,Chiara Petrolini,
o:2108691,Hollant to Sebastian Tengnagel. 1621-12-25,Chiara Petrolini,
o:2108693,Job Hartmann von Enenkel to Sebastian Tengnagel. 1622-01-29,Chiara Petrolini,
o:2108694,Nicolae Patrascu to Sebastian Tengnagel. 1622-02-15,Chiara Petrolini,
