pid,dc_title,dc_creator,bib_published
o:2108695,Job Hartmann von Enenkel to Sebastian Tengnagel. 1622-02-18,Chiara Petrolini,
o:2108701,Michel D'Asquier to Anton Berasius. 1622-06-06,Chiara Petrolini,
o:2108699,Johann Seyfried to Sebastian Tengnagel. 1622-04-20,Chiara Petrolini,
o:2108698,Jan van Wyningen to Sebastian Tengnagel. 1622-04-19,Chiara Petrolini,
o:2108702,Galen notarius publicus to s.n.. 1622-06-15,Chiara Petrolini,
o:2108700,Johann Ludwig von Hagen to Sebastian Tengnagel. 1622-05-25,Chiara Petrolini,
o:2108697,Thomas Erpenius to Sebastian Tengnagel. 1622-08-04,Chiara Petrolini,
o:2108706,Johann Seyfried to Sebastian Tengnagel. 1622-04-12,Chiara Petrolini,
o:2108707,Johann Seyfried to Sebastian Tengnagel. 1622-10-12,Chiara Petrolini,
o:2108705,Johann Seyfried to Sebastian Tengnagel. 1622-11-16,Chiara Petrolini,
o:2108704,Johann Seyfried to Sebastian Tengnagel. 1622-09-28,Chiara Petrolini,
o:2108708,Hollant to Sebastian Tengnagel. 1623-09-02,Chiara Petrolini,
o:2108703,Matthias Geiger to Sebastian Tengnagel. 1622-07-08,Chiara Petrolini,
o:2108711,Friedrich Monau to Sebastian Tengnagel. 1623-05-12,Chiara Petrolini,
o:2108710,Hollant to Sebastian Tengnagel. 1623-03-03,Chiara Petrolini,
o:2108709,Marcus Antonius Panthera to Sebastian Tengnagel. 1623-02-15,Chiara Petrolini,
o:2108714,Gundaker von Liechtenstein to Sebastian Tengnagel. 1624-01-20,Chiara Petrolini,
o:2108715,Gundaker von Liechtenstein to Sebastian Tengnagel. 1624-03-02,Chiara Petrolini,
o:2108713,Lower-Austrian Government to Sebastian Tengnagel. 1623-12-22,Chiara Petrolini,
o:2108712,Friedrich Monau to Sebastian Tengnagel. 1623-05-12,Chiara Petrolini,
o:2108717,Philippus Divinar to Sebastian Tengnagel. 1624-03-24,Chiara Petrolini,
o:2108716,Johann Ludwig von Hagen to Sebastian Tengnagel. 1624-05-03,Chiara Petrolini,
o:2108718,Friedrich Monau to Sebastian Tengnagel. 1624-05-21,Chiara Petrolini,
o:2108722,Anton Hierat to Sebastian Tengnagel. 1624-06-22,Chiara Petrolini,
o:2108720,Aulic Chamber to Sebastian Tengnagel. 1624-05-25,Chiara Petrolini,
o:2108721,Jan Gruter to Sebastian Tengnagel. 1624-06-19,Chiara Petrolini,
o:2108719,Friedrich Monau to Sebastian Tengnagel. 1624-05-21,Chiara Petrolini,
o:2108724,Esaias Leuker to Sebastian Tengnagel. 1624-09-18,Chiara Petrolini,
o:2108726,Michel D'Asquier to Sebastian Tengnagel. 1624-06-09,Chiara Petrolini,
o:2108727,Johann Ludwig von Hagen to Sebastian Tengnagel. 1624-05-10,Chiara Petrolini,
o:2108729,Jan van Wyningen the Younger to Sebastian Tengnagel. 1624-10-29,Chiara Petrolini,
o:2108728,Johann Ludwig von Hagen to Sebastian Tengnagel. 1624-10-15,Chiara Petrolini,
o:2108725,Jacobus de Huter to Anton Hierat. 1624-09-13,Chiara Petrolini,
o:2108723,Petrus Kirstenius to Sebastian Tengnagel. 1624-09-09,Chiara Petrolini,
o:2108735,Petrus Kirstenius to Sebastian Tengnagel. 1624-12-21,Chiara Petrolini,
o:2108731,Margareta van Wyningen to Sebastian Tengnagel. 1624-11-27,Chiara Petrolini,
o:2108730,Paulus Conopeus to Sebastian Tengnagel. 1624-03-11,Chiara Petrolini,
o:2108733,Matthäus Rader to Esaias Leuker. 1624-06-12,Chiara Petrolini,
o:2108734,Jan van Wyningen to Sebastian Tengnagel. 1624-09-12,Chiara Petrolini,
o:2108732,s.n. to Hieronymus Rayd s.d.,Chiara Petrolini,
o:2108736,s.n. to Sebastian Tengnagel 1624-12-23,Chiara Petrolini,
o:2108739,Elias Opala to Sebastian Tengnagel. 1622-12-21,Chiara Petrolini,
o:2108738,Paulus Conopeus to Sebastian Tengnagel. 1624-12-01,Chiara Petrolini,
o:2108737,Jan van Wyningen to Sebastian Tengnagel. 1624-12-31,Chiara Petrolini,
o:2108740,Jean-Baptiste Gramaye to s.n.. 1624-07-08,Chiara Petrolini,
o:2108635,Vincent Noguera to Sebastian Tengnagel. 1619-06-03,Chiara Petrolini,
o:2108634,Robert de Scheilder to Sebastian Tengnagel. 1619-06-03,Chiara Petrolini,
o:2108633,Job Hartmann von Enenkel to Sebastian Tengnagel. 1619-02-23,Chiara Petrolini,
o:2108639,Péter Pázmány to Sebastian Tengnagel. 1619-07-23,Chiara Petrolini,
o:2108638,Péter Pázmány to Sebastian Tengnagel. 1619-04-07,Chiara Petrolini,
o:2108636,Melchior Trevinnius to Sebastian Tengnagel. 1619-03-15,Chiara Petrolini,
o:2108637,Friedrich Hermann to Sebastian Tengnagel. 1619-06-08,Chiara Petrolini,
o:2108531,Jacques-Auguste De Thou to Sebastian Tengnagel. 1615-04-05,Chiara Petrolini,
o:2108532,David Hoeschel to Sebastian Tengnagel. 1615-05-18,Chiara Petrolini,
o:2108530,Valentinus Leuchtius to Sebastian Tengnagel. 1615-04-27,Chiara Petrolini,
o:2108533,"Peter Bloem\, Arnold Willelms to Sebastian Tengnagel. 1615-05-31",Chiara Petrolini,
o:2108534,F. Christophorus to Sebastian Tengnagel. 1615-04-06,Chiara Petrolini,
o:2108528,Petrus Kirstenius to Sebastian Tengnagel. 1615-03-04,Chiara Petrolini,
o:2108529,Le Hove to Sebastian Tengnagel. 1615-04-04,Chiara Petrolini,
o:2108546,Robert de Scheilder to Sebastian Tengnagel. 1615-02-12,Chiara Petrolini,
o:2108543,Valentinus Leuchtius to Sebastian Tengnagel. 1615-09-28,Chiara Petrolini,
o:2108547,Sebastian Tengnagel to Martin Mager von Schönberg. 1615-12-12,Chiara Petrolini,
o:2108545,Christoph Gewold to Sebastian Tengnagel. 1615-11-30,Chiara Petrolini,
o:2108548,[Jordanus Louffius] to [Sebastian Tengnagel]. 1615-03-29,Chiara Petrolini,
o:2108544,Jacob Gretser to Sebastian Tengnagel. 1615-10-30,Chiara Petrolini,
o:2108542,Martin Mager von Schönberg to Sebastian Tengnagel. 1615-09-20,Chiara Petrolini,
o:2108553,David Hoeschel to Sebastian Tengnagel. 1616-07-03,Chiara Petrolini,
o:2108550,Jacob Gretser to Sebastian Tengnagel. 1616-01-29,Chiara Petrolini,
o:2108555,Robert de Scheilder to Sebastian Tengnagel. 1616-02-04,Chiara Petrolini,
o:2108552,Simon Hieronymus Graf von Sprinzenstein to Sebastian Tengnagel. 1616-02-07,Chiara Petrolini,
o:2108551,Anton Hierat to Sebastian Tengnagel. 1616-02-05,Chiara Petrolini,
o:2108554,Le Hove to Sebastian Tengnagel. 1616-03-20,Chiara Petrolini,
o:2108549,Aegidius de Rasyr to Sebastian Tengnagel. 1616-01-28,Chiara Petrolini,
o:2108568,Johann Kruger to Sebastian Tengnagel. 1616-08-24,Chiara Petrolini,
o:2108566,Johannes Decker to Fronton Du Duc. 1616-07-17,Chiara Petrolini,
o:2108567,Robert de Scheilder to Sebastian Tengnagel. 1616-08-10,Chiara Petrolini,
o:2108565,Jacob Gretser to Sebastian Tengnagel. 1616-07-13,Chiara Petrolini,
o:2108563,Guilielmus Portugal to Sebastian Tengnagel. 25-07-1616,Chiara Petrolini,
o:2108569,s.n. to Arnoldus Geidlenus 1616-08-31,Chiara Petrolini,
o:2108564,s.n. to s.n. 1616-07-05,Chiara Petrolini,
o:2108576,Sebastian Tengnagel to Henricus van den Hofen. 1616-10-05,Chiara Petrolini,
o:2108575,Robert de Scheilder to Sebastian Tengnagel. 1616-01-10,Chiara Petrolini,
o:2108574,David Hoeschel to Sebastian Tengnagel. 1616-09-30,Chiara Petrolini,
o:2108570,Jacob Gretser to Sebastian Tengnagel. 1616-05-09,Chiara Petrolini,
o:2108571,Georg Sturn to Sebastian Tengnagel. 1616-10-09,Chiara Petrolini,
o:2108573,Gundaker von Liechtenstein to Sebastian Tengnagel. 1616-09-17,Chiara Petrolini,
o:2108572,Robert de Scheilder to Sebastian Tengnagel. 1616-10-09,Chiara Petrolini,
o:2108600,Petrus Kirstenius to Sebastian Tengnagel. 1617-06-22,Chiara Petrolini,
o:2108603,Hermann von Questenberg to Sebastian Tengnagel. 1617-07-15,Chiara Petrolini,
o:2108602,Jan van Wyningen to Sebastian Tengnagel. 1617-02-07,Chiara Petrolini,
o:2108601,Georg Sturn to Sebastian Tengnagel. 1617-01-07,Chiara Petrolini,
o:2108599,Jan van Wyningen to Sebastian Tengnagel. 1617-06-20,Chiara Petrolini,
o:2108604,Hans Ludwig von Ulm to Sebastian Tengnagel. 1617-07-15,Chiara Petrolini,
o:2108598,Hermann von Questenberg to Sebastian Tengnagel. 1617-06-17,Chiara Petrolini,
o:2108615,Anton Hierat to Sebastian Tengnagel. 1617-10-14,Chiara Petrolini,
o:2108616,Thomas Segeth to Sebastian Tengnagel. 1617-11-19,Chiara Petrolini,
o:2108613,Thomas Erpenius to Josephus Abudacnus. 1617-09-15,Chiara Petrolini,
o:2108617,Jan van Wyningen to Sebastian Tengnagel. 1617-12-18,Chiara Petrolini,
o:2108612,Jan van Wyningen to Sebastian Tengnagel. 1617-05-09,Chiara Petrolini,
o:2108618,Anton Hierat to Sebastian Tengnagel. 1617-12-24,Chiara Petrolini,
o:2108614,Hans Ludwig von Ulm to Sebastian Tengnagel. 1617-09-30,Chiara Petrolini,
o:2108629,Johann Georg Herwart von Hohenburg to Sebastian Tengnagel. 1618-12-12,Chiara Petrolini,
o:2108632,Job Hartmann von Enenkel to Sebastian Tengnagel. 1619-01-18,Chiara Petrolini,
o:2108627,s.n. to s.n. 1618-10-08,Chiara Petrolini,
o:2108628,Jacob Gretser to Sebastian Tengnagel. 1618-11-17,Chiara Petrolini,
o:2108630,Christoph Gewold to Sebastian Tengnagel. 1618-12-16,Chiara Petrolini,
o:2108626,Jan van Wyningen to Sebastian Tengnagel. 1618-09-25,Chiara Petrolini,
o:2108631,Jan van Wyningen to Sebastian Tengnagel. 1619-08-01,Chiara Petrolini,
o:2108650,Marcellus Franckheim to Frans Gansneb Tengnagel. 1620-12-03,Chiara Petrolini,
o:2108652,Jan van Wyningen to Sebastian Tengnagel. 1620-03-13,Chiara Petrolini,
o:2108651,Marcellus Franckheim to Sebastian Tengnagel. 1620-12-03,Chiara Petrolini,
o:2108648,Jan van Wyningen to Sebastian Tengnagel. 1619-03-12,Chiara Petrolini,
o:2108649,Jan van Wyningen to Sebastian Tengnagel. 1620-10-03,Chiara Petrolini,
o:2108647,Jan van Wyningen to Sebastian Tengnagel. 1619-09-15,Chiara Petrolini,
o:2108653,Jan van Wyningen to Sebastian Tengnagel. 1620-07-04,Chiara Petrolini,
