ids,label,phaidra
[],"Armuth, Eucharius",https://pid.phaidra.org/vocabulary/EJ3W-SMSZ
"['https://viaf.org/viaf/105133145/', 'https://www.wikidata.org/wiki/Q160460', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/100993885', 'https://data.cerl.org/thesaurus/cnp00398177']",al-Farabi,https://pid.phaidra.org/vocabulary/ZPD4-EGCY
"['https://data.cerl.org/thesaurus/cnp01160336', 'http://viaf.org/viaf/36936239', 'https://www.wikidata.org/wiki/Q119611']","Goldast, Melchior",https://pid.phaidra.org/vocabulary/HRA6-VVHV
"['https://www.wikidata.org/wiki/Q160441', 'https://data.cerl.org/thesaurus/cnp01466970', 'https://viaf.org/viaf/95147534/']",Hrabanus Maurus,https://pid.phaidra.org/vocabulary/SW06-YA19
"['https://data.cerl.org/thesaurus/cnp01324912', 'https://www.wikidata.org/wiki/Q6265613', 'http://viaf.org/viaf/48428905']","Pineda, Juan de",https://pid.phaidra.org/vocabulary/ES01-QXJF
['https://www.wikidata.org/wiki/Q186153'],Procopius of Caesarea,https://pid.phaidra.org/vocabulary/A8VT-5K3G
"['https://data.cerl.org/thesaurus/cni00038814', 'https://www.wikidata.org/wiki/Q1479401', 'https://viaf.org/viaf/100202711/']","Morel, Fédéric",https://pid.phaidra.org/vocabulary/57MJ-XSK1
"['http://viaf.org/viaf/47660686', 'https://data.cerl.org/thesaurus/cnp01018175']","Panthera, Marcus Antonius",https://pid.phaidra.org/vocabulary/M7KW-RN6Q
[],"Schilling, Albert von",https://pid.phaidra.org/vocabulary/KYEF-3GVA
"['https://data.cerl.org/thesaurus/cnp01303513', 'https://viaf.org/viaf/23079338/', 'https://www.wikidata.org/wiki/Q122291']","Wurstisen, Christian",https://pid.phaidra.org/vocabulary/NRY3-XFZ9
"['https://www.wikidata.org/wiki/Q496906', 'https://data.cerl.org/thesaurus/cnp01302721', 'https://viaf.org/processed/NSZL%7C000000001309']","Dudith, Andreas",https://pid.phaidra.org/vocabulary/S4VQ-TVHD
